snapshot_time_utc,batch_no,field_no,field_name,dm_address,data_type,scale,raw_words,decoded_value,normalized_value,decode_error
2026-03-04T10:26:56.061776+00:00,4,1,BATCH,D6300,INT,1,4,4,4,
2026-03-04T10:26:56.061776+00:00,4,2,NO-MO,D6301-6308,ASCII,,22344|12109|20271|12336|12337|13312|0|0,WH/MO/00014,WH/MO/00014,
2026-03-04T10:26:56.061776+00:00,4,3,NO-BoM,D6309-6316,ASCII,,19014|8272|19541|21280|19285|20992|0|0,JF PLUS KUR,JF PLUS KUR,
2026-03-04T10:26:56.061776+00:00,4,4,finished_goods,D6317-6324,ASCII,,19014|8272|19541|21280|19285|20992|0|0,JF PLUS KUR,JF PLUS KUR,
2026-03-04T10:26:56.061776+00:00,4,5,Quantity Goods_id,D6325-6326,REAL,100,1|34464,1000.0,1000.0,
2026-03-04T10:26:56.061776+00:00,4,6,SILO ID 101 (SILO BESAR),D6327,INT,1,101,101,101,
2026-03-04T10:26:56.061776+00:00,4,7,SILO ID 101 Consumption,D6328-6329,REAL,100,0|4100,41.0,41.0,
2026-03-04T10:26:56.061776+00:00,4,8,SILO ID 102 (SILO BESAR),D6330,INT,1,102,102,102,
2026-03-04T10:26:56.061776+00:00,4,9,SILO ID 102 Consumption,D6331-6332,REAL,100,0|16000,160.0,160.0,
2026-03-04T10:26:56.061776+00:00,4,10,SILO ID 103 (SILO BESAR),D6333,INT,1,103,103,103,
2026-03-04T10:26:56.061776+00:00,4,11,SILO ID 103 Consumption,D6334-6335,REAL,100,0|35000,350.0,350.0,
2026-03-04T10:26:56.061776+00:00,4,12,SILO ID 104,D6336,INT,1,104,104,104,
2026-03-04T10:26:56.061776+00:00,4,13,SILO ID 104 Consumption,D6337-6338,REAL,100,0|0,0.0,0.0,
2026-03-04T10:26:56.061776+00:00,4,14,SILO ID 105,D6339,INT,1,105,105,105,
2026-03-04T10:26:56.061776+00:00,4,15,SILO ID 105 Consumption,D6340-6341,REAL,100,0|0,0.0,0.0,
2026-03-04T10:26:56.061776+00:00,4,16,SILO ID 106,D6342,INT,1,106,106,106,
2026-03-04T10:26:56.061776+00:00,4,17,SILO ID 106 Consumption,D6343-6344,REAL,100,0|7000,70.0,70.0,
2026-03-04T10:26:56.061776+00:00,4,18,SILO ID 107,D6345,INT,1,107,107,107,
2026-03-04T10:26:56.061776+00:00,4,19,SILO ID 107 Consumption,D6346-6347,REAL,100,0|12500,125.0,125.0,
2026-03-04T10:26:56.061776+00:00,4,20,SILO ID 108,D6348,INT,1,108,108,108,
2026-03-04T10:26:56.061776+00:00,4,21,SILO ID 108 Consumption,D6349-6350,REAL,100,0|2000,20.0,20.0,
2026-03-04T10:26:56.061776+00:00,4,22,SILO ID 109,D6351,INT,1,109,109,109,
2026-03-04T10:26:56.061776+00:00,4,23,SILO ID 109 Consumption,D6352-6353,REAL,100,0|0,0.0,0.0,
2026-03-04T10:26:56.061776+00:00,4,24,SILO ID 110,D6354,INT,1,110,110,110,
2026-03-04T10:26:56.061776+00:00,4,25,SILO ID 110 Consumption,D6355-6356,REAL,100,0|0,0.0,0.0,
2026-03-04T10:26:56.061776+00:00,4,26,SILO ID 111,D6357,INT,1,111,111,111,
2026-03-04T10:26:56.061776+00:00,4,27,SILO ID 111 Consumption,D6358-6359,REAL,100,0|0,0.0,0.0,
2026-03-04T10:26:56.061776+00:00,4,28,SILO ID 112,D6360,INT,1,112,112,112,
2026-03-04T10:26:56.061776+00:00,4,29,SILO ID 112 Consumption,D6361-6362,REAL,100,0|1500,15.0,15.0,
2026-03-04T10:26:56.061776+00:00,4,30,SILO ID 113,D6363,INT,1,113,113,113,
2026-03-04T10:26:56.061776+00:00,4,31,SILO ID 113 Consumption,D6364-6365,REAL,100,0|0,0.0,0.0,
2026-03-04T10:26:56.061776+00:00,4,32,LQ ID 114,D6366,INT,1,114,114,114,
2026-03-04T10:26:56.061776+00:00,4,33,LQ ID 114 Consumption,D6367-6368,REAL,100,0|4000,40.0,40.0,
2026-03-04T10:26:56.061776+00:00,4,34,LQ ID 115,D6369,INT,1,115,115,115,
2026-03-04T10:26:56.061776+00:00,4,35,LQ ID 115 Consumption,D6370-6371,REAL,100,0|1000,10.0,10.0,
2026-03-04T10:26:56.061776+00:00,4,36,status manufaturing,D6372,boolean,,1,True,True,
2026-03-04T10:26:56.061776+00:00,4,37,Status Operation,D6373,boolean,,0,False,False,
2026-03-04T10:26:56.061776+00:00,4,38,weight_finished_good,D6374-6375,REAL,100,0|0,0.0,0.0,
2026-03-04T10:26:56.061776+00:00,4,39,status_read_data,D6376,boolean,,0,False,False,
