snapshot_time_utc,batch_no,field_no,field_name,dm_address,data_type,scale,raw_words,decoded_value,normalized_value,decode_error
2026-03-04T10:19:46.277314+00:00,7,1,BATCH,D6600,INT,1,7,7,7,
2026-03-04T10:19:46.277314+00:00,7,2,NO-MO,D6601-6608,ASCII,,22344|12109|20271|12336|12337|14080|0|0,WH/MO/00017,WH/MO/00017,
2026-03-04T10:19:46.277314+00:00,7,3,NO-BoM,D6609-6616,ASCII,,23345|12336|14133|23840|19014|8275|21840|17746,[10075] JF SUPER,[10075] JF SUPER,
2026-03-04T10:19:46.277314+00:00,7,4,finished_goods,D6617-6624,ASCII,,23345|12336|14133|23840|19014|8275|21840|17746,[10075] JF SUPER,[10075] JF SUPER,
2026-03-04T10:19:46.277314+00:00,7,5,Quantity Goods_id,D6625-6626,REAL,100,1|34464,1000.0,1000.0,
2026-03-04T10:19:46.277314+00:00,7,6,SILO ID 101 (SILO BESAR),D6627,INT,1,101,101,101,
2026-03-04T10:19:46.277314+00:00,7,7,SILO ID 101 Consumption,D6628-6629,REAL,100,0|7000,70.0,70.0,
2026-03-04T10:19:46.277314+00:00,7,8,SILO ID 102 (SILO BESAR),D6630,INT,1,102,102,102,
2026-03-04T10:19:46.277314+00:00,7,9,SILO ID 102 Consumption,D6631-6632,REAL,100,0|11000,110.0,110.0,
2026-03-04T10:19:46.277314+00:00,7,10,SILO ID 103 (SILO BESAR),D6633,INT,1,103,103,103,
2026-03-04T10:19:46.277314+00:00,7,11,SILO ID 103 Consumption,D6634-6635,REAL,100,0|31000,310.0,310.0,
2026-03-04T10:19:46.277314+00:00,7,12,SILO ID 104,D6636,INT,1,104,104,104,
2026-03-04T10:19:46.277314+00:00,7,13,SILO ID 104 Consumption,D6637-6638,REAL,100,0|0,0.0,0.0,
2026-03-04T10:19:46.277314+00:00,7,14,SILO ID 105,D6639,INT,1,105,105,105,
2026-03-04T10:19:46.277314+00:00,7,15,SILO ID 105 Consumption,D6640-6641,REAL,100,0|0,0.0,0.0,
2026-03-04T10:19:46.277314+00:00,7,16,SILO ID 106,D6642,INT,1,106,106,106,
2026-03-04T10:19:46.277314+00:00,7,17,SILO ID 106 Consumption,D6643-6644,REAL,100,0|3300,33.0,33.0,
2026-03-04T10:19:46.277314+00:00,7,18,SILO ID 107,D6645,INT,1,107,107,107,
2026-03-04T10:19:46.277314+00:00,7,19,SILO ID 107 Consumption,D6646-6647,REAL,100,0|26200,262.0,262.0,
2026-03-04T10:19:46.277314+00:00,7,20,SILO ID 108,D6648,INT,1,108,108,108,
2026-03-04T10:19:46.277314+00:00,7,21,SILO ID 108 Consumption,D6649-6650,REAL,100,0|12000,120.0,120.0,
2026-03-04T10:19:46.277314+00:00,7,22,SILO ID 109,D6651,INT,1,109,109,109,
2026-03-04T10:19:46.277314+00:00,7,23,SILO ID 109 Consumption,D6652-6653,REAL,100,0|0,0.0,0.0,
2026-03-04T10:19:46.277314+00:00,7,24,SILO ID 110,D6654,INT,1,109,109,109,
2026-03-04T10:19:46.277314+00:00,7,25,SILO ID 110 Consumption,D6655-6656,REAL,100,110|0,72089.6,1.1,
2026-03-04T10:19:46.277314+00:00,7,26,SILO ID 111,D6657,INT,1,111,111,111,
2026-03-04T10:19:46.277314+00:00,7,27,SILO ID 111 Consumption,D6658-6659,REAL,100,0|0,0.0,0.0,
2026-03-04T10:19:46.277314+00:00,7,28,SILO ID 112,D6660,INT,1,112,112,112,
2026-03-04T10:19:46.277314+00:00,7,29,SILO ID 112 Consumption,D6661-6662,REAL,100,0|0,0.0,0.0,
2026-03-04T10:19:46.277314+00:00,7,30,SILO ID 113,D6663,INT,1,113,113,113,
2026-03-04T10:19:46.277314+00:00,7,31,SILO ID 113 Consumption,D6664-6665,REAL,100,0|0,0.0,0.0,
2026-03-04T10:19:46.277314+00:00,7,32,LQ ID 114,D6666,INT,1,114,114,114,
2026-03-04T10:19:46.277314+00:00,7,33,LQ ID 114 Consumption,D6667-6668,REAL,100,0|3300,33.0,33.0,
2026-03-04T10:19:46.277314+00:00,7,34,LQ ID 115,D6669,INT,1,115,115,115,
2026-03-04T10:19:46.277314+00:00,7,35,LQ ID 115 Consumption,D6670-6671,REAL,100,0|3300,33.0,33.0,
2026-03-04T10:19:46.277314+00:00,7,36,status manufaturing,D6672,boolean,,1,True,True,
2026-03-04T10:19:46.277314+00:00,7,37,Status Operation,D6673,boolean,,0,False,False,
2026-03-04T10:19:46.277314+00:00,7,38,weight_finished_good,D6674-6675,REAL,100,0|0,0.0,0.0,
2026-03-04T10:19:46.277314+00:00,7,39,status_read_data,D6676,boolean,,0,False,False,
