snapshot_time_utc,batch_no,base_address,+0,+2,+4,+6,+8
2026-03-04T15:55:46.758762+00:00,4,D6300,57480004,4F2F2F4D,30313030,00003400,4A460000
2026-03-04T15:55:46.758762+00:00,4,D6310,4C552050,4B555320,00005200,4A460000,4C552050
2026-03-04T15:55:46.758762+00:00,4,D6320,4B555320,00005200,00010000,006586A0,10040000
2026-03-04T15:55:46.758762+00:00,4,D6330,00000066,00673E80,88B80000,00000068,00690000
2026-03-04T15:55:46.758762+00:00,4,D6340,00000000,0000006A,006B1B58,30D40000,0000006C
2026-03-04T15:55:46.758762+00:00,4,D6350,006D07D0,00000000,0000006E,006F0000,00000000
2026-03-04T15:55:46.758762+00:00,4,D6360,00000070,007105DC,00000000,00000072,00730FA0
2026-03-04T15:55:46.758762+00:00,4,D6370,03E80000,00000001,00000000,00000000,00000000
