snapshot_time_utc,batch_no,field_no,field_name,dm_address,data_type,scale,raw_words,decoded_value,normalized_value,decode_error
2026-03-04T10:19:46.262367+00:00,6,1,BATCH,D6500,INT,1,6,6,6,
2026-03-04T10:19:46.262367+00:00,6,2,NO-MO,D6501-6508,ASCII,,22344|12109|20271|12336|12337|13824|0|0,WH/MO/00016,WH/MO/00016,
2026-03-04T10:19:46.262367+00:00,6,3,NO-BoM,D6509-6516,ASCII,,23345|12336|14133|23840|19014|8275|21840|17746,[10075] JF SUPER,[10075] JF SUPER,
2026-03-04T10:19:46.262367+00:00,6,4,finished_goods,D6517-6524,ASCII,,23345|12336|14133|23840|19014|8275|21840|17746,[10075] JF SUPER,[10075] JF SUPER,
2026-03-04T10:19:46.262367+00:00,6,5,Quantity Goods_id,D6525-6526,REAL,100,1|34464,1000.0,1000.0,
2026-03-04T10:19:46.262367+00:00,6,6,SILO ID 101 (SILO BESAR),D6527,INT,1,101,101,101,
2026-03-04T10:19:46.262367+00:00,6,7,SILO ID 101 Consumption,D6528-6529,REAL,100,0|7000,70.0,70.0,
2026-03-04T10:19:46.262367+00:00,6,8,SILO ID 102 (SILO BESAR),D6530,INT,1,102,102,102,
2026-03-04T10:19:46.262367+00:00,6,9,SILO ID 102 Consumption,D6531-6532,REAL,100,0|11000,110.0,110.0,
2026-03-04T10:19:46.262367+00:00,6,10,SILO ID 103 (SILO BESAR),D6533,INT,1,103,103,103,
2026-03-04T10:19:46.262367+00:00,6,11,SILO ID 103 Consumption,D6534-6535,REAL,100,0|31000,310.0,310.0,
2026-03-04T10:19:46.262367+00:00,6,12,SILO ID 104,D6536,INT,1,104,104,104,
2026-03-04T10:19:46.262367+00:00,6,13,SILO ID 104 Consumption,D6537-6538,REAL,100,0|0,0.0,0.0,
2026-03-04T10:19:46.262367+00:00,6,14,SILO ID 105,D6539,INT,1,105,105,105,
2026-03-04T10:19:46.262367+00:00,6,15,SILO ID 105 Consumption,D6540-6541,REAL,100,0|0,0.0,0.0,
2026-03-04T10:19:46.262367+00:00,6,16,SILO ID 106,D6542,INT,1,106,106,106,
2026-03-04T10:19:46.262367+00:00,6,17,SILO ID 106 Consumption,D6543-6544,REAL,100,0|3300,33.0,33.0,
2026-03-04T10:19:46.262367+00:00,6,18,SILO ID 107,D6545,INT,1,107,107,107,
2026-03-04T10:19:46.262367+00:00,6,19,SILO ID 107 Consumption,D6546-6547,REAL,100,0|26200,262.0,262.0,
2026-03-04T10:19:46.262367+00:00,6,20,SILO ID 108,D6548,INT,1,108,108,108,
2026-03-04T10:19:46.262367+00:00,6,21,SILO ID 108 Consumption,D6549-6550,REAL,100,0|12000,120.0,120.0,
2026-03-04T10:19:46.262367+00:00,6,22,SILO ID 109,D6551,INT,1,109,109,109,
2026-03-04T10:19:46.262367+00:00,6,23,SILO ID 109 Consumption,D6552-6553,REAL,100,0|0,0.0,0.0,
2026-03-04T10:19:46.262367+00:00,6,24,SILO ID 110,D6554,INT,1,109,109,109,
2026-03-04T10:19:46.262367+00:00,6,25,SILO ID 110 Consumption,D6555-6556,REAL,100,110|0,72089.6,1.1,
2026-03-04T10:19:46.262367+00:00,6,26,SILO ID 111,D6557,INT,1,111,111,111,
2026-03-04T10:19:46.262367+00:00,6,27,SILO ID 111 Consumption,D6558-6559,REAL,100,0|0,0.0,0.0,
2026-03-04T10:19:46.262367+00:00,6,28,SILO ID 112,D6560,INT,1,112,112,112,
2026-03-04T10:19:46.262367+00:00,6,29,SILO ID 112 Consumption,D6561-6562,REAL,100,0|0,0.0,0.0,
2026-03-04T10:19:46.262367+00:00,6,30,SILO ID 113,D6563,INT,1,113,113,113,
2026-03-04T10:19:46.262367+00:00,6,31,SILO ID 113 Consumption,D6564-6565,REAL,100,0|0,0.0,0.0,
2026-03-04T10:19:46.262367+00:00,6,32,LQ ID 114,D6566,INT,1,114,114,114,
2026-03-04T10:19:46.262367+00:00,6,33,LQ ID 114 Consumption,D6567-6568,REAL,100,0|3300,33.0,33.0,
2026-03-04T10:19:46.262367+00:00,6,34,LQ ID 115,D6569,INT,1,115,115,115,
2026-03-04T10:19:46.262367+00:00,6,35,LQ ID 115 Consumption,D6570-6571,REAL,100,0|3300,33.0,33.0,
2026-03-04T10:19:46.262367+00:00,6,36,status manufaturing,D6572,boolean,,1,True,True,
2026-03-04T10:19:46.262367+00:00,6,37,Status Operation,D6573,boolean,,0,False,False,
2026-03-04T10:19:46.262367+00:00,6,38,weight_finished_good,D6574-6575,REAL,100,0|0,0.0,0.0,
2026-03-04T10:19:46.262367+00:00,6,39,status_read_data,D6576,boolean,,0,False,False,
